IfcGUID,レベル,部屋: 名前,ファミリ,マーク,タイプ IfcGUID,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
3bWyfaOdr6FRpicybt$NBa,2FL,ロビー・打合せスペース,システム天井 照明,770,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBZ,2FL,ロビー・打合せスペース,システム天井 照明,771,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBY,2FL,ロビー・打合せスペース,システム天井 照明,772,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBX,2FL,ロビー・打合せスペース,システム天井 照明,773,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBW,2FL,ロビー・打合せスペース,システム天井 照明,774,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$NBl,2FL,ロビー・打合せスペース,システム天井 照明,775,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N4h,2FL,ロビー・打合せスペース,システム天井 照明,1340,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N4g,2FL,ロビー・打合せスペース,システム天井 照明,1341,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N4f,2FL,ロビー・打合せスペース,システム天井 照明,1342,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N4e,2FL,ロビー・打合せスペース,システム天井 照明,1343,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N5N,2FL,ロビー・打合せスペース,システム天井 照明,1344,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N5M,2FL,ロビー・打合せスペース,システム天井 照明,1345,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N6I,2FL,ロビー・打合せスペース,システム天井 照明,1346,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N6H,2FL,ロビー・打合せスペース,システム天井 照明,1347,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N6G,2FL,ロビー・打合せスペース,システム天井 照明,1348,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N6V,2FL,ロビー・打合せスペース,システム天井 照明,1349,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N6U,2FL,ロビー・打合せスペース,システム天井 照明,1350,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N6T,2FL,ロビー・打合せスペース,システム天井 照明,1351,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N7P,2FL,ロビー・打合せスペース,システム天井 照明,1352,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
