id,project_info,IfcGUID,level,No,name,wall_finish,ceiling_finish,floor_finish
629,Aビル_新築工事,1HTVjQQv18H9vjRcs9g8T8,2FL,2,EPS,,,
630,Aビル_新築工事,1HTVjQQv18H9vjRcs9g8TA,2FL,3,階段室,,,
631,Aビル_新築工事,1HTVjQQv18H9vjRcs9g8TE,2FL,5,ELVホール,,,
632,Aビル_新築工事,1HTVjQQv18H9vjRcs9g8T0,2FL,6,WC女,,,
633,Aビル_新築工事,1HTVjQQv18H9vjRcs9g8T2,2FL,7,EPS,,,
634,Aビル_新築工事,1HTVjQQv18H9vjRcs9g8T4,2FL,8,給湯室,,,
635,Aビル_新築工事,1HTVjQQv18H9vjRcs9g8T6,2FL,9,PS,,,
636,Aビル_新築工事,1HTVjQQv18H9vjRcs9g8Tu,2FL,10,EPS,,,
637,Aビル_新築工事,1HTVjQQv18H9vjRcs9g8Ty,2FL,12,WC男,,,
638,Aビル_新築工事,2gUKHROv1EUgcx1P0l24Au,1FL,14,管理人室,,,
639,Aビル_新築工事,2gUKHROv1EUgcx1P0l24A6,1FL,15,ポンプ室,,,
640,Aビル_新築工事,2gUKHROv1EUgcx1P0l24A4,1FL,16,清掃 管理人 控室,,,
641,Aビル_新築工事,2gUKHROv1EUgcx1P0l24A2,1FL,17,HWC,,,
642,Aビル_新築工事,2gUKHROv1EUgcx1P0l24AE,1FL,19,電気室,,,
643,Aビル_新築工事,2gUKHROv1EUgcx1P0l24AC,1FL,20,階段室,,,
644,Aビル_新築工事,2gUKHROv1EUgcx1P0l24A8,1FL,22,ゴミ置場,,,
645,Aビル_新築工事,2gUKHROv1EUgcx1P0l24AM,1FL,23,EPS,,,
646,Aビル_新築工事,2gUKHROv1EUgcx1P0l24AK,1FL,24,エントランス ホール,,,
647,Aビル_新築工事,2gUKHROv1EUgcx1P0l24AI,1FL,25,風除室,,,
648,Aビル_新築工事,2gUKHROv1EUgcx1P0l24AG,1FL,26,店舗,,,
649,Aビル_新築工事,2gUKHROv1EUgcx1P0l24AU,1FL,27,駐車場,,,
650,Aビル_新築工事,2gUKHROv1EUgcx1P0l248X,1FL,28,ELVホール,,,
651,Aビル_新築工事,2gUKHROv1EUgcx1P0l25tJ,1FL,29,廊下2,,,
652,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSR6,2FL,30,廊下,,,
653,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSVx,2FL,31,設備バルコニー,,,
654,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSo4,3FL,32,事務室,,,
655,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSo7,3FL,33,EPS,,,
656,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSo6,3FL,34,階段室,,,
657,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSov,3FL,35,PS,,,
658,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSou,3FL,36,WC女,,,
659,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSox,3FL,37,EPS,,,
660,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSow,3FL,38,給湯室,,,
661,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSoz,3FL,39,PS,,,
662,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSoy,3FL,40,EPS,,,
663,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSo1,3FL,42,WC男,,,
664,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSok,3FL,44,廊下,,,
665,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSoY,3FL,45,設備バルコニー,,,
666,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSiL,4FL,46,事務室,,,
667,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSiK,4FL,47,EPS,,,
668,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSiN,4FL,48,階段室,,,
669,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSiM,4FL,49,ELVホール,,,
670,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSi9,4FL,50,WC女,,,
671,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSi8,4FL,51,EPS,,,
672,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSiB,4FL,52,給湯室,,,
673,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSiA,4FL,53,PS,,,
674,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSiD,4FL,54,EPS,,,
675,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSiF,4FL,56,WC男,,,
676,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSi$,4FL,58,廊下,,,
