IfcGUID,レベル,番号,名前,仕上表 仕上 壁,仕上表 仕上 天井,仕上表 仕上 床
2TGD5OHBX7lxMRIFi3nVVm,6FL,77,ELVホール,EP-2,岩綿吸音板(A),タイルカーペット(A)
2TGD5OHBX7lxMRIFi3nVVp,6FL,78,WC女,化粧塩ビシート(A),化粧GB(A),ビニル床シート(A)
2TGD5OHBX7lxMRIFi3nVVo,6FL,79,EPS,素地,素地,防塵塗装(A)
2TGD5OHBX7lxMRIFi3nVVr,6FL,80,給湯室,EP-2,化粧GB(A),ビニル床シート(A)
2TGD5OHBX7lxMRIFi3nVVq,6FL,81,PS,素地,素地,防塵塗装(A)
2TGD5OHBX7lxMRIFi3nVVt,6FL,82,EPS,素地,素地,防塵塗装(A)
2TGD5OHBX7lxMRIFi3nVVf,6FL,84,WC男,化粧塩ビシート(A),化粧GB(A),ビニル床シート(A)
2TGD5OHBX7lxMRIFi3nVGP,6FL,86,廊下,EP-2,岩綿吸音板(A),タイルカーペット(A)
2TGD5OHBX7lxMRIFi3nVGT,6FL,87,設備バルコニー,-,,
2PDl5UBrHCpxDBxxrt3pXL,6FL,114,PS,素地,素地,防塵塗装(A)
2PDl5UBrHCpxDBxxrt3pXN,6FL,115,PS,素地,素地,防塵塗装(A)
2PDl5UBrHCpxDBxxrt3pXP,6FL,116,PS,素地,素地,防塵塗装(A)
2TGD5OHBX7lxMRIFi3nV9A,7FL,88,事務室,EP-2,システム天井(A),タイルカーペット(A)
2TGD5OHBX7lxMRIFi3nV9D,7FL,89,EPS,素地,素地,防塵塗装(A)
2TGD5OHBX7lxMRIFi3nV9C,7FL,90,階段室,EP-2,岩綿吸音板(A),ビニル床シート(A)
2TGD5OHBX7lxMRIFi3nV9F,7FL,91,ELVホール,EP-2,岩綿吸音板(A),タイルカーペット(A)
2TGD5OHBX7lxMRIFi3nV9E,7FL,92,WC女,化粧塩ビシート(A),化粧GB(A),ビニル床シート(A)
2TGD5OHBX7lxMRIFi3nV91,7FL,93,EPS,素地,素地,防塵塗装(A)
2TGD5OHBX7lxMRIFi3nV90,7FL,94,給湯室,EP-2,化粧GB(A),ビニル床シート(A)
2TGD5OHBX7lxMRIFi3nV93,7FL,95,PS,素地,素地,防塵塗装(A)
2TGD5OHBX7lxMRIFi3nV92,7FL,96,EPS,素地,素地,防塵塗装(A)
2TGD5OHBX7lxMRIFi3nV94,7FL,98,WC男,化粧塩ビシート(A),化粧GB(A),ビニル床シート(A)
2TGD5OHBX7lxMRIFi3nV9q,7FL,100,廊下,EP-2,岩綿吸音板(A),タイルカーペット(A)
2TGD5OHBX7lxMRIFi3nV9e,7FL,101,設備バルコニー,-,,
2PDl5UBrHCpxDBxxrt3pX8,7FL,117,PS,素地,素地,防塵塗装(A)
2PDl5UBrHCpxDBxxrt3pXA,7FL,118,PS,素地,素地,防塵塗装(A)
2PDl5UBrHCpxDBxxrt3pXC,7FL,119,PS,素地,素地,防塵塗装(A)
