IfcGUID,レベル,部屋: 名前,ファミリ,マーク,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
3bWyfaOdr6FRpicybt$N6U,2FL,ロビー・打合せスペース,システム天井 照明,1350,12 lx,,,,,
3bWyfaOdr6FRpicybt$N6T,2FL,ロビー・打合せスペース,システム天井 照明,1351,12 lx,,,,,
3bWyfaOdr6FRpicybt$N7P,2FL,ロビー・打合せスペース,システム天井 照明,1352,12 lx,,,,,
3bWyfaOdr6FRpicybt$N7O,2FL,ロビー・打合せスペース,システム天井 照明,1353,12 lx,,,,,
3bWyfaOdr6FRpicybt$N77,2FL,ロビー・打合せスペース,システム天井 照明,1354,12 lx,,,,,
3bWyfaOdr6FRpicybt$N76,2FL,ロビー・打合せスペース,システム天井 照明,1355,12 lx,,,,,
3bWyfaOdr6FRpicybt$N75,2FL,ロビー・打合せスペース,システム天井 照明,1356,12 lx,,,,,
3bWyfaOdr6FRpicybt$N74,2FL,ロビー・打合せスペース,システム天井 照明,1357,12 lx,,,,,
3bWyfaOdr6FRpicybt$N00,2FL,ギャラリースペース,システム天井 照明,1358,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0F,2FL,ギャラリースペース,システム天井 照明,1359,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0E,2FL,ギャラリースペース,システム天井 照明,1360,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0D,2FL,ギャラリースペース,システム天井 照明,1361,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0C,2FL,ギャラリースペース,システム天井 照明,1362,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0B,2FL,ギャラリースペース,システム天井 照明,1363,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1t,2FL,ギャラリースペース,システム天井 照明,1364,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1s,2FL,ギャラリースペース,システム天井 照明,1365,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1r,2FL,ギャラリースペース,システム天井 照明,1366,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1q,2FL,ギャラリースペース,システム天井 照明,1367,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1p,2FL,ギャラリースペース,システム天井 照明,1368,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1o,2FL,ギャラリースペース,システム天井 照明,1369,12 lx,,,,,
3bWyfaOdr6FRpicybt$NSI,2FL,ギャラリースペース,システム天井 照明,1370,12 lx,,,,,
3bWyfaOdr6FRpicybt$NSH,2FL,ギャラリースペース,システム天井 照明,1371,12 lx,,,,,
3bWyfaOdr6FRpicybt$NSG,2FL,ギャラリースペース,システム天井 照明,1372,12 lx,,,,,
3bWyfaOdr6FRpicybt$NSV,2FL,ギャラリースペース,システム天井 照明,1373,12 lx,,,,,
3bWyfaOdr6FRpicybt$NSU,2FL,ギャラリースペース,システム天井 照明,1374,12 lx,,,,,
3bWyfaOdr6FRpicybt$NST,2FL,ギャラリースペース,システム天井 照明,1375,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZB,3FL,事務室,システム天井 照明,1376,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZq,3FL,事務室,システム天井 照明,1377,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZr,3FL,事務室,システム天井 照明,1378,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZs,3FL,事務室,システム天井 照明,1379,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZt,3FL,事務室,システム天井 照明,1380,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZm,3FL,事務室,システム天井 照明,1381,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZn,3FL,事務室,システム天井 照明,1382,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZo,3FL,事務室,システム天井 照明,1383,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZp,3FL,事務室,システム天井 照明,1384,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZy,3FL,事務室,システム天井 照明,1385,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZz,3FL,事務室,システム天井 照明,1386,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZ_,3FL,事務室,システム天井 照明,1387,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZ$,3FL,事務室,システム天井 照明,1388,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZu,3FL,事務室,システム天井 照明,1389,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZv,3FL,事務室,システム天井 照明,1390,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZw,3FL,事務室,システム天井 照明,1391,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZx,3FL,事務室,システム天井 照明,1392,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZa,3FL,事務室,システム天井 照明,1393,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZb,3FL,事務室,システム天井 照明,1394,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZc,3FL,事務室,システム天井 照明,1395,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZd,3FL,事務室,システム天井 照明,1396,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZW,3FL,事務室,システム天井 照明,1397,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZX,3FL,事務室,システム天井 照明,1398,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZY,3FL,事務室,システム天井 照明,1399,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZZ,3FL,事務室,システム天井 照明,1400,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZi,3FL,事務室,システム天井 照明,1401,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZj,3FL,事務室,システム天井 照明,1402,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZk,3FL,事務室,システム天井 照明,1403,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZl,3FL,事務室,システム天井 照明,1404,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZe,3FL,事務室,システム天井 照明,1405,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZf,3FL,事務室,システム天井 照明,1406,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZg,3FL,事務室,システム天井 照明,1407,12 lx,,,,,
0LuFMlas932Oj8jqSvsCZh,3FL,事務室,システム天井 照明,1408,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYK,3FL,事務室,システム天井 照明,1409,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYL,3FL,事務室,システム天井 照明,1410,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYM,3FL,事務室,システム天井 照明,1411,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYN,3FL,事務室,システム天井 照明,1412,12 lx,,,,,
