id,project_info,IfcGUID,level,No,name,wall_finish,ceiling_finish,floor_finish
1,Aビル_新築工事,2LExFLIiX8M9DB53MN6Ebv,ピット,124,消火水槽,EP-2,_,_
2,Aビル_新築工事,2LExFLIiX8M9DB53MN6Ebx,ピット,125,ピット,_,素地,_
3,Bビル_新築工事,2LExFLIiX8M9DB53MN6Ebb,ピット,126,ELV ピット,_,_,_
4,Aビル_新築工事,2gUKHROv1EUgcx_P0l24Au,1FL,14,管理人室,EP-2,岩綿吸音板(A),ビニル床シート(A)
5,Aビル_新築工事,2gUKHROv1EUgcx_P0l24A6,1FL,15,ポンプ室,素地,素地,防塵塗装(A)
6,Aビル_新築工事,2gUKHROv1EUgcx_P0l24A4,1FL,16,清掃 管理人 控室,EP-2,岩綿吸音板(A),ビニル床シート(A)
7,Aビル_新築工事,2gUKHROv1EUgcx_P0l24A2,1FL,17,HWC,化粧塩ビシート(A),化粧GB(A),ビニル床シート(B)
8,Aビル_新築工事,2gUKHROv1EUgcx_P0l24AE,1FL,19,電気室,素地,素地,防塵塗装(A)
9,Aビル_新築工事,2gUKHROv1EUgcx_P0l24AC,1FL,20,階段室,EP-2,岩綿吸音板(A),ビニル床シート(A)
10,Aビル_新築工事,2gUKHROv1EUgcx_P0l24A8,1FL,22,ゴミ置場,素地,素地,防塵塗装(A)
11,Aビル_新築工事,2gUKHROv1EUgcx_P0l24AM,1FL,23,EPS,素地,素地,防塵塗装(A)
12,Aビル_新築工事,2gUKHROv1EUgcx_P0l24AK,1FL,24,エントランス ホール,花こう岩(A),岩綿吸音板(A),花こう岩(A)
13,Aビル_新築工事,2gUKHROv1EUgcx_P0l24AI,1FL,25,風除室,花こう岩(A),岩綿吸音板(A),防塵塗装(A)
14,Aビル_新築工事,2gUKHROv1EUgcx_P0l24AG,1FL,26,店舗,素地,素地,防塵塗装(A)
15,Aビル_新築工事,2gUKHROv1EUgcx_P0l24AU,1FL,27,駐車場,素地,システム天井(A),防塵塗装(A)
16,Aビル_新築工事,2gUKHROv1EUgcx_P0l248X,1FL,28,ELVホール,花こう岩(A),岩綿吸音板(A),花こう岩(A)
